table_name|cols
employee_employeeworkinformation|id:bigint, location:character varying, email:character varying, mobile:character varying, date_joining:date, contract_end_date:date, basic_salary:integer, salary_hour:integer, additional_info:jsonb, experience:double precision, company_id_id:bigint, department_id_id:bigint, employee_id_id:bigint, employee_type_id_id:bigint, job_position_id_id:bigint, job_role_id_id:bigint, reporting_manager_id_id:bigint, shift_id_id:bigint, work_type_id_id:bigint
employee_employeeworkinformation_tags|id:bigint, employeeworkinformation_id:bigint, employeetag_id:bigint
employee_historicalbonuspoint|id:bigint, created_at:timestamp with time zone, is_active:boolean, history_title:character varying, history_description:text, history_highlight:boolean, points:integer, encashment_condition:character varying, redeeming_points:integer, reason:text, history_id:integer, history_date:timestamp with time zone, history_change_reason:character varying, history_type:character varying, created_by_id:integer, employee_id_id:bigint, history_relation_id:bigint, history_user_id:integer, modified_by_id:integer
employee_historicalbonuspoint_history_tags|id:bigint, historicalbonuspoint_id:integer, audittag_id:bigint
employee_historicalemployeeworkinformation|id:bigint, history_title:character varying, history_description:text, history_highlight:boolean, location:character varying, email:character varying, mobile:character varying, date_joining:date, contract_end_date:date, basic_salary:integer, salary_hour:integer, additional_info:jsonb, experience:double precision, history_id:integer, history_date:timestamp with time zone, history_change_reason:character varying, history_type:character varying, company_id_id:bigint, department_id_id:bigint, employee_id_id:bigint, employee_type_id_id:bigint, history_relation_id:bigint, history_user_id:integer, job_position_id_id:bigint, job_role_id_id:bigint, reporting_manager_id_id:bigint, shift_id_id:bigint, work_type_id_id:bigint
employee_historicalemployeeworkinformation_history_tags|id:bigint, historicalemployeeworkinformation_id:integer, audittag_id:bigint
employee_notefiles|id:bigint, created_at:timestamp with time zone, is_active:boolean, files:character varying, created_by_id:integer, modified_by_id:integer
employee_policy|id:bigint, created_at:timestamp with time zone, is_active:boolean, title:character varying, body:text, is_visible_to_all:boolean, created_by_id:integer, modified_by_id:integer
employee_policy_attachments|id:bigint, policy_id:bigint, policymultiplefile_id:bigint
employee_policy_company_id|id:bigint, policy_id:bigint, company_id:bigint
employee_policy_specific_employees|id:bigint, policy_id:bigint, employee_id:bigint
employee_policymultiplefile|id:bigint, created_at:timestamp with time zone, is_active:boolean, attachment:character varying, created_by_id:integer, modified_by_id:integer
employee_profileeditfeature|id:bigint, created_at:timestamp with time zone, is_active:boolean, is_enabled:boolean, created_by_id:integer, modified_by_id:integer
facedetection_employeefacedetection|id:bigint, image:character varying, employee_id_id:bigint
facedetection_facedetection|id:bigint, start:boolean, company_id_id:bigint
geofencing_geofencing|id:bigint, latitude:double precision, longitude:double precision, radius_in_meters:integer, start:boolean, company_id_id:bigint
helpdesk_attachment|id:bigint, created_at:timestamp with time zone, is_active:boolean, file:character varying, description:character varying, format:character varying, comment_id:bigint, created_by_id:integer, modified_by_id:integer, ticket_id:bigint
helpdesk_claimrequest|id:bigint, created_at:timestamp with time zone, is_active:boolean, is_approved:boolean, is_rejected:boolean, created_by_id:integer, employee_id_id:bigint, modified_by_id:integer, ticket_id_id:bigint
helpdesk_comment|id:bigint, created_at:timestamp with time zone, is_active:boolean, comment:text, date:timestamp with time zone, created_by_id:integer, employee_id_id:bigint, modified_by_id:integer, ticket_id:bigint
helpdesk_departmentmanager|id:bigint, created_at:timestamp with time zone, is_active:boolean, company_id_id:bigint, created_by_id:integer, department_id:bigint, manager_id:bigint, modified_by_id:integer
helpdesk_faq|id:bigint, created_at:timestamp with time zone, is_active:boolean, question:character varying, answer:text, category_id:bigint, company_id_id:bigint, created_by_id:integer, modified_by_id:integer
helpdesk_faq_tags|id:bigint, faq_id:bigint, tags_id:bigint
helpdesk_faqcategory|id:bigint, created_at:timestamp with time zone, is_active:boolean, title:character varying, description:text, created_by_id:integer, modified_by_id:integer
helpdesk_historicalticket|id:bigint, created_at:timestamp with time zone, is_active:boolean, history_title:character varying, history_description:text, history_highlight:boolean, title:character varying, description:text, priority:character varying, created_date:date, resolved_date:date, assigning_type:character varying, raised_on:character varying, deadline:date, status:character varying, history_id:integer, history_date:timestamp with time zone, history_change_reason:character varying, history_type:character varying, created_by_id:integer, employee_id_id:bigint, history_relation_id:bigint, history_user_id:integer, modified_by_id:integer, ticket_type_id:bigint
helpdesk_historicalticket_history_tags|id:bigint, historicalticket_id:integer, audittag_id:bigint
helpdesk_ticket|id:bigint, created_at:timestamp with time zone, is_active:boolean, title:character varying, description:text, priority:character varying, created_date:date, resolved_date:date, assigning_type:character varying, raised_on:character varying, deadline:date, status:character varying, created_by_id:integer, employee_id_id:bigint, modified_by_id:integer, ticket_type_id:bigint
helpdesk_ticket_assigned_to|id:bigint, ticket_id:bigint, employee_id:bigint
helpdesk_ticket_tags|id:bigint, ticket_id:bigint, tags_id:bigint
helpdesk_tickettype|id:bigint, created_at:timestamp with time zone, is_active:boolean, title:character varying, type:character varying, prefix:character varying, company_id_id:bigint, created_by_id:integer, modified_by_id:integer
horilla_audit_accountblockunblock|id:bigint, created_at:timestamp with time zone, is_active:boolean, is_enabled:boolean, created_by_id:integer, modified_by_id:integer
horilla_audit_audittag|id:bigint, title:character varying, highlight:boolean
horilla_audit_historytrackingfields|id:bigint, created_at:timestamp with time zone, is_active:boolean, tracking_fields:jsonb, work_info_track:boolean, created_by_id:integer, modified_by_id:integer
horilla_automations_mailautomation|id:bigint, created_at:timestamp with time zone, is_active:boolean, title:character varying, method_title:character varying, model:character varying, mail_to:text, mail_details:character varying, mail_detail_choice:text, trigger:character varying, delivary_channel:character varying, condition_html:text, condition_querystring:text, condition:text, created_by_id:integer, mail_template_id:bigint, modified_by_id:integer
horilla_automations_mailautomation_also_sent_to|id:bigint, mailautomation_id:bigint, employee_id:bigint
horilla_automations_mailautomation_template_attachments|id:bigint, mailautomation_id:bigint, horillamailtemplate_id:bigint
horilla_backup_googledrivebackup|id:bigint, service_account_file:character varying, gdrive_folder_id:character varying, backup_media:boolean, backup_db:boolean, interval:boolean, fixed:boolean, seconds:integer, hour:integer, minute:integer, active:boolean
horilla_backup_localbackup|id:bigint, backup_path:character varying, backup_media:boolean, backup_db:boolean, interval:boolean, fixed:boolean, seconds:integer, hour:integer, minute:integer, active:boolean
horilla_documents_document|id:bigint, created_at:timestamp with time zone, is_active:boolean, title:character varying, document:character varying, status:character varying, reject_reason:text, issue_date:date, expiry_date:date, notify_before:integer, is_digital_asset:boolean, created_by_id:integer, document_request_id_id:bigint, employee_id_id:bigint, modified_by_id:integer
horilla_documents_documentrequest|id:bigint, created_at:timestamp with time zone, is_active:boolean, title:character varying, format:character varying, max_size:integer, description:text, created_by_id:integer, modified_by_id:integer
horilla_documents_documentrequest_employee_id|id:bigint, documentrequest_id:bigint, employee_id:bigint
horilla_views_activegroup|id:bigint, created_at:timestamp with time zone, is_active:boolean, path:character varying, group_target:character varying, group_by_field:character varying, created_by_id:integer, modified_by_id:integer
horilla_views_activetab|id:bigint, created_at:timestamp with time zone, is_active:boolean, path:character varying, tab_target:character varying, created_by_id:integer, modified_by_id:integer
horilla_views_activeview|id:bigint, created_at:timestamp with time zone, is_active:boolean, path:character varying, type:character varying, created_by_id:integer, modified_by_id:integer
horilla_views_savedfilter|id:bigint, created_at:timestamp with time zone, is_active:boolean, title:character varying, color:character varying, is_default:boolean, filter:text, urlencode:text, path:character varying, referrer:character varying, created_by_id:integer, modified_by_id:integer
